key_id,tournament_id,tournament_name,world_cup_year,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,home_team_score,away_team_score,goal_difference,total_goals,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties,result,result_name,result_label,home_team_win,away_team_win,draw,home_historical_matches,home_historical_wins,home_historical_draws,home_historical_losses,home_historical_goals_for,home_historical_goals_against,home_historical_goal_diff,home_historical_points,home_world_cups_played_before,home_win_rate_before,home_draw_rate_before,home_loss_rate_before,home_avg_goals_for_before,home_avg_goals_against_before,home_points_per_match_before,home_last5_avg_goals_for,home_last5_avg_goals_against,home_last5_win_rate,away_historical_matches,away_historical_wins,away_historical_draws,away_historical_losses,away_historical_goals_for,away_historical_goals_against,away_historical_goal_diff,away_historical_points,away_world_cups_played_before,away_win_rate_before,away_draw_rate_before,away_loss_rate_before,away_avg_goals_for_before,away_avg_goals_against_before,away_points_per_match_before,away_last5_avg_goals_for,away_last5_avg_goals_against,away_last5_win_rate,home_vs_away_h2h_matches_before,home_h2h_wins_before,away_h2h_wins_before,h2h_draws_before
31,WC-1934,1934 FIFA World Cup,1934,M-1934-13,Italy v Spain,quarter-finals,not applicable,0,1,0,1,1934-06-01,16:30,S-072,Stadio Giovanni Berta,Florence,Italy,T-39,Italy,ITA,T-71,Spain,ESP,1,0,1,1,0,0,0,0,home team win,home_win,2,1,0,0,2,1,1,0,8,2,6,4,1,0.5,0.5,0.0,4.0,1.0,2.0,4.0,1.0,0.5,2,1,1,0,4,2,2,4,1,0.5,0.5,0.0,2.0,1.0,2.0,2.0,1.0,0.5,1,0,0,1
32,WC-1934,1934 FIFA World Cup,1934,M-1934-14,Czechoslovakia v Germany,semi-finals,not applicable,0,1,0,0,1934-06-03,16:30,S-078,Stadio Nazionale PNF,Rome,Italy,T-20,Czechoslovakia,CSK,T-29,Germany,DEU,3,1,2,4,0,0,0,0,home team win,home_win,2,1,0,0,2,2,0,0,5,3,2,6,1,1.0,0.0,0.0,2.5,1.5,3.0,2.5,1.5,1.0,2,2,0,0,7,3,4,6,1,1.0,0.0,0.0,3.5,1.5,3.0,3.5,1.5,1.0,0,0,0,0
33,WC-1934,1934 FIFA World Cup,1934,M-1934-15,Italy v Austria,semi-finals,not applicable,0,1,0,0,1934-06-03,16:30,S-074,San Siro,Milan,Italy,T-39,Italy,ITA,T-05,Austria,AUT,1,0,1,1,0,0,0,0,home team win,home_win,2,1,0,0,3,2,1,0,9,2,7,7,1,0.6666666666666666,0.3333333333333333,0.0,3.0,0.6666666666666666,2.333333333333333,3.0,0.6666666666666666,0.6666666666666666,2,2,0,0,5,3,2,6,1,1.0,0.0,0.0,2.5,1.5,3.0,2.5,1.5,1.0,0,0,0,0
34,WC-1934,1934 FIFA World Cup,1934,M-1934-16,Germany v Austria,third-place match,not applicable,0,1,0,0,1934-06-07,18:00,S-075,Stadio Giorgio Ascarelli,Naples,Italy,T-29,Germany,DEU,T-05,Austria,AUT,3,2,1,5,0,0,0,0,home team win,home_win,2,1,0,0,3,2,0,1,8,6,2,6,1,0.6666666666666666,0.0,0.3333333333333333,2.6666666666666665,2.0,2.0,2.6666666666666665,2.0,0.6666666666666666,3,2,0,1,5,4,1,6,1,0.6666666666666666,0.0,0.3333333333333333,1.6666666666666667,1.3333333333333333,2.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,0,0,0,0
35,WC-1934,1934 FIFA World Cup,1934,M-1934-17,Italy v Czechoslovakia,final,not applicable,0,1,0,0,1934-06-10,17:00,S-078,Stadio Nazionale PNF,Rome,Italy,T-39,Italy,ITA,T-20,Czechoslovakia,CSK,2,1,1,3,1,0,0,0,home team win,home_win,2,1,0,0,4,3,1,0,10,2,8,10,1,0.75,0.25,0.0,2.5,0.5,2.5,2.5,0.5,0.75,3,3,0,0,8,4,4,9,1,1.0,0.0,0.0,2.6666666666666665,1.3333333333333333,3.0,2.6666666666666665,1.3333333333333333,1.0,0,0,0,0
36,WC-1938,1938 FIFA World Cup,1938,M-1938-01,Switzerland v Germany,round of 16,not applicable,0,1,1,0,1938-06-04,17:00,S-045,Parc des Princes,Paris,France,T-73,Switzerland,CHE,T-29,Germany,DEU,1,1,0,2,1,0,0,0,draw,draw,1,0,0,1,2,1,0,1,5,5,0,3,1,0.5,0.0,0.5,2.5,2.5,1.5,2.5,2.5,0.5,4,3,0,1,11,8,3,9,1,0.75,0.0,0.25,2.75,2.0,2.25,2.75,2.0,0.75,0,0,0,0
37,WC-1938,1938 FIFA World Cup,1938,M-1938-02,Cuba v Romania,round of 16,not applicable,0,1,1,0,1938-06-05,17:00,S-052,Stade du T.O.E.C.,Toulouse,France,T-18,Cuba,CUB,T-59,Romania,ROU,3,3,0,6,1,0,0,0,draw,draw,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,2,4,7,-3,3,2,0.3333333333333333,0.0,0.6666666666666666,1.3333333333333333,2.333333333333333,1.0,1.3333333333333333,2.333333333333333,0.3333333333333333,0,0,0,0
38,WC-1938,1938 FIFA World Cup,1938,M-1938-03,France v Belgium,round of 16,not applicable,0,1,0,0,1938-06-05,17:00,S-046,Stade Olympique de Colombes,Paris,France,T-28,France,FRA,T-06,Belgium,BEL,3,1,2,4,0,0,0,0,home team win,home_win,2,1,0,0,4,1,0,3,6,6,0,3,2,0.25,0.0,0.75,1.5,1.5,0.75,1.5,1.5,0.25,3,0,0,3,2,9,-7,0,2,0.0,0.0,1.0,0.6666666666666666,3.0,0.0,0.6666666666666666,3.0,0.0,0,0,0,0
39,WC-1938,1938 FIFA World Cup,1938,M-1938-04,Hungary v Dutch East Indies,round of 16,not applicable,0,1,0,0,1938-06-05,17:00,S-047,Vélodrome Municipal,Reims,France,T-34,Hungary,HUN,T-22,Dutch East Indies,IDN,6,0,6,6,0,0,0,0,home team win,home_win,2,1,0,0,2,1,0,1,5,4,1,3,1,0.5,0.0,0.5,2.5,2.0,1.5,2.5,2.0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
40,WC-1938,1938 FIFA World Cup,1938,M-1938-05,Italy v Norway,round of 16,not applicable,0,1,0,0,1938-06-05,17:00,S-042,Stade Vélodrome,Marseille,France,T-39,Italy,ITA,T-51,Norway,NOR,2,1,1,3,1,0,0,0,home team win,home_win,2,1,0,0,5,4,1,0,12,3,9,13,1,0.8,0.2,0.0,2.4,0.6,2.6,2.4,0.6,0.8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
